Ayurvedic Medicine,Diseases Cured,Cautions and Precautions,Properties,Key Ingredients,Mode of Action
Chandanadi Varti,Skin Disorders,Avoid direct sunlight after application.,"Cooling, Anti-acne","Sandalwood, Neem",Cooling and soothing properties
Chandanadi Varti,Acne,Avoid direct sunlight after application.,"Cooling, Anti-acne","Sandalwood, Neem",Cooling and soothing properties
Triphala Guggulu Varti,Digestive Issues,Not recommended for pregnant women.,"Digestive, Detoxifying","Triphala, Guggulu",Helps with digestive disorders
Triphala Guggulu Varti,Weight Management,Not recommended for pregnant women.,"Digestive, Detoxifying","Triphala, Guggulu",Helps with digestive disorders
Kasisadi Varti,Hemorrhoids,Avoid sitting for prolonged periods.,"Hemostatic, Analgesic","Kasisa, Tankana",Hemostatic and astringent properties
Kumkumadi Varti,Skin Brightening,Not recommended for sensitive skin.,"Skin Rejuvenating, Depigmenting","Saffron, Turmeric",Skin rejuvenation and brightening
Kumkumadi Varti,Pigmentation,Not recommended for sensitive skin.,"Skin Rejuvenating, Depigmenting","Saffron, Turmeric",Skin rejuvenation and brightening
Jatyadi Varti,Wound Healing,Apply only externally.,"Antiseptic, Healing","Jasminum officinale, Neem",Wound healing and antimicrobial effects
Jatyadi Varti,Skin Infections,Apply only externally.,"Antiseptic, Healing","Jasminum officinale, Neem",Wound healing and antimicrobial effects
Chandraprabha Varti,Urinary Tract Infections,Avoid excessive salt and spicy foods.,"Diuretic, Antibacterial","Chandraprabha, Guggulu",Diuretic and anti-inflammatory
Karpuradi Varti,Migraine,Avoid excessive use.,"Analgesic, Relaxant","Camphor, Lavender",Respiratory relief and decongestant
Karpuradi Varti,Headache,Avoid excessive use.,"Analgesic, Relaxant","Camphor, Lavender",Respiratory relief and decongestant
Shankhpushpi Varti,Memory Improvement,Not recommended during pregnancy.,"Nootropic, Anxiolytic","Shankhpushpi, Ghee",Nervine tonic and memory enhancement
Shankhpushpi Varti,Anxiety,Not recommended during pregnancy.,"Nootropic, Anxiolytic","Shankhpushpi, Ghee",Nervine tonic and memory enhancement
Pippalimooladi Varti,Digestive Disorders,Not suitable for individuals with gastritis.,"Digestive, Carminative","Pippalimoola, Rock Salt",Digestive aid and anti-inflammatory
Pippalimooladi Varti,Gas,Not suitable for individuals with gastritis.,"Digestive, Carminative","Pippalimoola, Rock Salt",Digestive aid and anti-inflammatory
