College ID,State,Name of the College,"Govt./Aided/Private/
Deemed"
AYU0001,Telangana,"Dr. BRKR Govt. Ayurvedic College, Opp. E.S.I Hospital, Erragadda, Hyderabad-500038,
Telangana",Government
AYU0002,Andhra Pradesh,"Dr. NR Shastry Govt. Ayurvedic College,
M.G. Road, Vijayawada-520002, Urban Mandal, Krishna District.
Andhra Pradesh",Government
AYU0003,Andhra Pradesh,"Sri Venkateshwara Ayurvedic College, SVIMS Campus, T T Devasthanam, Tirupati North-517507,
Andhra Pradesh",Private
AYU0004,Telangana,"Anantha Laxmi Govt. Ayurvedic College, Post Laxmipura, Labour Colony,
Tq. & Distt. Warangal-506013, Telangana",Government
AYU0008,Assam,"Government Ayurvedic College, Jalukbari, Distt-Kamrup (Metro), Guwahati- 781014 ,
Assam",Government
AYU0009,Bihar,"Government Ayurvedic College & Hospital, Kadam Kuan, Patna- 800003,
Bihar",Government
AYU0010,Bihar,"Ravindranath Mukherjee Ayurved College, Motihari, Dist. East Champaran- 845401, Bihar",Private
AYU0011,Bihar,"Rajkiya Ayodhya Shivkumar Ayurved College & Hospital At Lohiyanagar, P.O.-Suhirdnagar,
Dist. Begusai-851218 , Bihar",Government
AYU0012,Bihar,"Swami Raghavendracharya Tridandi, Ayurved Mahavidyalaya and Chikitsalaya, Karjara Station, PO Manjhouli,
Via Wazirganj, Gaya-823001, Bihar",Private
AYU0013,Bihar,"Shri Motisingh Jageshwari Ayurved  College & Hospital, Bada Telpa, Chapra, Saran- 841301,
Bihar",Private
AYU0014,Bihar,"Nitishwar Ayurved Medical College & Hospital, Bawan Bigha, Kanhauli, P.O. Ramana, Muzzafarpur- 842002, Bihar",Private
AYU0015,Bihar,"Ayurved Mahavidyalaya, Ghughari Tand, Gaya- 823001, Bihar",Private
AYU0016,Bihar,"Dayanand Ayurvedic Medical College & Hospital, Siwan- 841266, Bihar",Private
AYU0017,Chhattisgarh,"Shri Narayan Prasad Awasthi Government Ayurvedic College, G.E. Road, Raipur- 492001, Chhattisgarh",Government
AYU0018,Chhattisgarh,"Rajiv Lochan Ayurved Medical College, Village & Post- Chandkhuri Gunderdehi Road, Distt. Durg- 491221, Chhattisgarh",Private
AYU0019,Chhattisgarh,"Chhattisgarh Ayurved Medical College,
G.E. Road, Village Manki, Dist.-Rajnandgaon 491441, Chhattisgarh",Private
AYU0020,Chandigarh,"Shri Dhanwantry Ayurvedic College, and Hospital, Plot No.-M-688, Sector 46-B
Chandigarh- 160017",Private
AYU0021,New Delhi,"Ayurved & Unani Tibbia College and Hospital, Ajmal Khan Road, Karol Bagh,
New Delhi-110005",Government
AYU0022,New Delhi,"Ch. Brahm Prakash  Ayurved Charak Sansthan, Khera Dabar, Najafgarh,
New Delhi-110073",Government
AYU0023,Goa,"Bharteeya Sanskrit Prabodhini,
Gomantak Ayurveda Mahavidyalaya & Research Centre,  Shiroda Tq. Ponda, Distt. North Goa-403103",Grant-in-aid
AYU0024,Gujarat,"Govt. Akhandanand Ayurved College & Hospital, Lal Darwaja, Bhadra,
Ahmedabad- 380001, Gujarat",Government
AYU0025,Gujarat,"J.S. Ayurved Mahavidyalaya, Hospital Road, Dist.-Kaira,
Nadiad-387001, Gujarat",Private
AYU0026,Gujarat,"Govt. Ayurved Mahavidyalaya, Ajwa Road, Vadodara- 390019, Gujarat",Government
AYU0028,Gujarat,"Sheth JP Govt. Ayurved College, Opp. Sardar Baug, Panvadi, Bhavanagar- 364001, Gujarat",Government
AYU0029,Gujarat,"Govt. Ayurved College, Pancheshwar Road, Near Geeta Cinema,
Junagadh-362001, Gujarat",Government
AYU0030,Gujarat,"Shri Balahanuman Ayurved Mahavidyalaya, At & Post Lodra, Ta. Mansa,
Dist. Gandhinagar-382835, Gujarat",Private
AYU0031,Gujarat,"Shri OH Nazar Ayurved College,  Nr. Railway Station, Lal Darwaja Road, Tauka: Choryasi, Dist- Surat-395003,
Gujarat",Grant-in-aid
AYU0032,Gujarat,"Shri Gulab Kunverba Ayurved Mahavidyalaya, Dhanwantri Mandir,
Jamnagar-361008, Gujarat",Government
AYU0033,Gujarat,"Institute for Post Graduate Teaching & Research in Ayurveda Office to the Director Sushruta Bhavan, Gujarat Ayurved University, G.G. Hospital Road,
Jamnagar 361008, Gujarat",Central Univeristy (Government)
AYU0034,Gujarat,"Parul Institute of Ayurved,
P.O Limda, Tal. Waghodia, Distt. Vadodara- 391760,
Gujarat",Private
AYU0035,Gujarat,"Govindbhai Jorabhai Patel ,
Ayurveda College and Research Centre B/h G.I.D.C, New Vallabh Vidyanagar, Taluka;
Dist. Anand-388121 , Gujarat",Private
AYU0036,Haryana,"Shri Baba Mastnath Ayurvedic College, VPO. Asthal Bohar, Distt. Rohtak-124021, Haryana",Private
AYU0037,Haryana,"Shri Maru Singh Memorial Institute of Ayurveda, B.P.S. Mahila Vishwavidyalaya Khanpur Kalan,
Tehsil-Gohana, Distt. Sonipat-131305, Haryana",Government
AYU0038,Haryana,"Gaur Brahmin Ayurvedic College & Hospital, Village & P.O. Brahmanwas,
Distt. Rohtak-124001, Haryana",Private
AYU0039,Haryana,"Seth Murari Lal Rasiwasia Ayurvedic College & Hospital,
R.K. Gupta Marg Charkhi Dadri, Dist.-Bhiwani-127306, Haryana",Private
AYU0040,Haryana,"Shri Krishna Govt. Ayurvedic College & Hospital, Umri Road, Near DC Residence,
Sec-8, Kurukshetra-136118, Haryana",Government
AYU0041,Haryana,"Chaudhary Devilal College of Ayurveda, Bhagwangarh, Buria Road, Tehsil Jagadhri, Distt. Yamuna Nagar-135003,
Haryana",Private
AYU0042,Haryana,"Ayujyoti Ayurvedic College & Hospital, Panjuana- Kharia,  Jodhpuria,
Sirsa-1250766, Haryana",Private
AYU0043,Himachal Pradesh,"Rajiv Gandhi Govt. Post-Graduate, Ayurvedic College, Paprola, Tehsil-Baijnath, Distt. Kangra- 176115,
Himachal Pradesh",Government
AYU0044,Jammu & Kashmir,"Jammu Institute of Ayurved & Research, Muthi, Nardani Raipur, Ban Talab Road, Jammu Tawi-181123",Private
AYU0045,Jharkhand,"Suryamukhi Dinesh Ayurved  Medical College & Hospital, At & P.O-Booty, Via Neori Vikash, Dist:- Ranchi-835217, Jharkhand",Private
AYU0046,Karnataka,"Govt. Ayurveda Medical College & Hospital, Sayyaji Rao Road, Vishweshwaraiah Circle, Distt. Mysore-570021,
Karnataka",Government
AYU0047,Karnataka,"Aroor Laxminarayana  Rao Memorial Ayurvedic Medical College, Koppa- 577126, Distt. Chikmagalur, Karnataka",Private
AYU0048,Karnataka,"Govt. Ayurvedic Medical College, Dhanwantri Road, Bangalore-560009, Karnataka",Government
AYU0049,Karnataka,"Taranath Govt. Ayurvedic Medical College, Ananthpura Road, Bellary-583101, Karnataka",Government
AYU0050,Karnataka,"A.V. Samiti’s Ayurveda Mahavidyalaya, Vidya Nagar, Bagalkot Road,
Dist. & Tal Bijapur-586109, Karnataka",Private
AYU0051,Karnataka,"Ayurved Mahavidyalaya & Hospital, Heggeri Extension Old Hubli-508824, Karnataka",Government aided
AYU0052,Karnataka,"Karnataka Liberal Education University, Shri B.M. Kankanadi Ayurveda Mahavidyalaya, Shahapur, Belgaum- 590003,
Karnataka",Private
AYU0053,Karnataka,"Ashwini Educational Association’s Ayurved Medical College & PG Centre, #405/1, Opp. Bathi Lake, “Ashwini Nagar”,
P.B. Road, Dist. Davangere-577566, Karnataka",Private
AYU0054,Karnataka,"N.K. Jabshetty Ayurvedic Medical College & P.G. Centre,  Siddaroodh Math, Gumpa, Manhalli Road, Bidar-585403,
Karnataka",Private
AYU0055,Karnataka,"Dr. Basavaraj Nagur Mamorial Trust, Dr. B.N.M Rural Ayurvedic Medical College & Hospital, Smt. Sushiladevi, Nagur Colony College Road, Tq. & Distt. Bijapur-586101,
Karnataka",Private
AYU0056,Karnataka,"JSS Ayurveda Medical College, Shri Shivarathreeshwara Nagar, Mysore-570015, Karnataka",Private
AYU0057,Karnataka,"Sindagi Shanta Veereshwar, Ayurvedic Medical College & Hospital, Shantaveera Nagar, Ijarilakamapur, P.B. Road, Distt.-Haveri-581183, Karnataka",Private
AYU0058,Karnataka,"Shri Vijay Mahantesh Ayurvedic Medical College, Tq. –Hungund, Dist. Bagalkot, Ilkal-587125, Karnataka",Private
AYU0059,Karnataka,"Bapuji Ayurvedic Medical College & Hospital, Sowlanga Road, Opp. A.G. College, Channamumbapura, Shimoga-577204, Karnataka",Private
AYU0060,Karnataka,"T.M.A.E Society’s Ayurvedic Medical College, Sankalapura, Tanda, Ballary,
Road, Hospet-583201, Karnataka",Private
AYU0061,Karnataka,"TMAES Ayurvedic Medical College, Nidige P.O. Shimoga- 560001, Karnataka",Private
AYU0062,Karnataka,"Amrutha Ayurvedic Medical College & Hospital Behind Onake Obavva Stadium Dist.
Chitradurga-577501, Karnataka",Private
AYU0063,Karnataka,"Bapuji Ayurvedic Medical College and Hospital , Bapuji Campus, T.R. Nagara, Challakere,
Distt. Chitradurga-577522, Karnataka",Private
AYU0064,Karnataka,"Sri Dharmastala Manjunatheshwara College of Ayurveda and Hospital Thanniruhalla, B M Road,
Taluka & Distt. Hassan-573201, Karnataka",Private
AYU0065,Karnataka,"K.V.G Ayurved Medical College & Hospital, Ambatedka Sullia, Distt. Dakshin,
Kannada -574327,
Karnataka",Private
AYU0066,Karnataka,"Shri Jagadguru Gurusiddeshwar Co-Operative Society’s Sahakar Maharshi, Shri B. A. Patil Ayurvedic Medical College,  Tal-Gokak, Dist. Belgaum,
Ghataprabha-591310, Karnataka",Private
AYU0067,Karnataka,"Sri Kalabyraveswara Swamy Ayurvedic Medical College, Hospital and Research Centre, No.10, Pipe Line Road, R.P.C Layout, Vijayanagar, Bangalore-560104,
Karnataka",Private
AYU0068,Karnataka,"Indian Institute of  Ayurvedic Medicine & Research, Bangalore Palace Compound, Jayamahal Road,
Opp. Darga, Bangalore-560006, Karnataka",Private
AYU0069,Karnataka,"Mahaganpati Ayurvedic College, Hoysalnagar, Halyal Road,
Distt. Dharwad-580003, Karnataka",Private
AYU0070,Karnataka,"Alva’s Ayurveda Medical College,
Moodbidri, South Canara, Distt. Dakshin-574227, Karnataka",Private
AYU0071,Karnataka,"SNVV Samasthe’s  SGV Ayurved  Medical College, Hospital & Research Centre, Tal: Bailhongal, Distt. Belgaum-591102, Karnataka",Private
AYU0072,Karnataka,"Shri Shivayogeshwar Rural Ayurvedic Medical College & Hospital, Tq:-Saundatti, Distt.-Belgaum, Inchal – 591102  Karnataka",Private
AYU0073,Karnataka,"Taluka Shikshan Prasarak Sahakara Mandali
Ayurvedic Medical College and Hospital, Sindgi, Distt. Bijapur-586128, Karnataka",Private
AYU0074,Karnataka,"Shri Jagadguru Gavisiddheshwar Ayurvedic Medical College, Post Graduate Studies & Research Center,
Koppal – 583231, Karnataka",Private
AYU0075,Karnataka,"Shri Hingulambika Education  Society’s
Ayurvedic Medical College, Hospital & Research Centre, Bhavsar Nagar, Sedam Road, Gulbarga-585106, Karnataka",Private
AYU0076,Karnataka,"Kalmathada Pujya Sri Virupaksha Shivacharya Ayurvedic Medical College & Hospital,
Manvi, Dist. Raichur-584123, Karnataka",Private
AYU0077,Karnataka,"Shri Basaveshwar Vidya Vardhak Sangha, Ayurved Medical College & Hospital, P.B. No. 34.
Distt. Bagalkot-587101, Karnataka",Private
AYU0078,Karnataka,"Shri Bahubali Vidhyapeeth’s J.V. Mandal’s Grameen Ayurvedic Medical College Gurukul Campus,
Tq. Jamkhandi, Distt. Bagalkot, Terdal -587315, Karnataka",Private
AYU0079,Karnataka,"S.S.V. Samiti’s  Shri SBS Ayurvedic Medical College, Mundargi, Distt. Gadag-582118, Karnataka",Private
AYU0080,Karnataka,"JSVV Samsthe’s Danappa Gurushiddappa Melmalagi Ayurvedic Medical College, Hospital, Dr. Savadi Road, Shivananda Nagar, Ta. & Distt. Gadag-582103, Karnataka",Grant-in-aid
AYU0081,Karnataka,"Shri Veerpulikeshi Rural Vidyavardhak  Samasth’s
Rural Ayurvedic Medical College, Hospital & Research Centre ,Opp. J.M.F.Court, Ramadurg Road,
P.O & Tq. Badami, Distt. Bagalkot-587201, Karnataka",Private
AYU0082,Karnataka,"Kannada Balag Society’s Rural Ayurveda Medical College, Auto Nagar, Main Double Road, Tq & Distt. Belgaum-590016,
Karnataka",Private
AYU0083,Karnataka,"Bagamar Seva Samiti’s Bhagwan Mahaveer Jain Ayurvedic Medical College & Hospital, Gajendergad Tq. Ron, Distt. Gadag-582114, Karnataka",Private
AYU0084,Karnataka,"Shri Kalidas Ayurvedic Medical College, Banashankari Road, Post: Badami, Distt. Bagalkot-587201
Karnataka",Private
AYU0085,Karnataka,"Rajiv Gandhi Education Society’s  Ayurvedic Medical  College & Hospital Taluka Ron, Dist. Gadag-582209,
Karnataka",Private
AYU0086,Karnataka,"Muniyal Institute of Ayurveda Medical Sciences,
No.34/C, Shivalli Industrial Area, Taluk & Distt. Udupi, Manipal-576104, Karnataka",Private
AYU0087,Karnataka,"Dhanvantari Ayurveda College & Hospital,
Siddapur, Sirsi Road, Distt.- Uttara Kannada 581355, Karnataka",Private
AYU0088,Karnataka,"Sri Balaji Education Trust, Rama Krishna Ayurvedic Medical College and Research Centre, #54/2, Ramagondanahalli, Yelahanka, Bangalore-560064,
Karnataka",Private
AYU0089,Karnataka,"SDM, College of Ayurveda & Hospital, Laxminarayan, Nagar, P.O. Kuthpady Taluk and Distt. Udupi-574118, Karnataka",Private
AYU0090,Karnataka,"Karnataka Ayurveda Medical College & Hospital
K.E.C.T Tower, Hoigebail, Ashok Nagar,
P. O. Mangalore D.K.-575006, Karnataka",Private
